Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Pet control accessory features (product.metafields.shopify.pet-control-accessory-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
k9-coffee-table,K9 Coffee Table,"<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">K9 咖啡桌将前卫设计与迷人功能完美融合，为您的空间锦上添花。这款作品精雕细琢，令人着迷，为任何房间增添一抹动人魅力，将大胆的美学与精湛的工艺完美融合。对于那些热爱大胆装饰风格，并希望家具彰显激情与力量的人来说，它堪称完美之选。让这张桌子成为您私密聚会和冒险生活方式的核心。</span></span></p>
<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">产品编号：8913</span></span></p>",Knot Knot,Uncategorized,"","",true,Color,shopify--color-pattern-dgy1dvxa,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,4,deny,manual,1199.99,,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01UBiDZH20HRdkfEwvU__3923156824-0-cib.jpg?v=1755863487,1,"",false,,,,shopify--color-pattern-dgy1dvxa,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01UBiDZH20HRdkfEwvU__3923156824-0-cib.jpg?v=1755863487,lb,,,active
k9-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/24_5eba07ae-5c67-4fb1-8eba-692ad1424e5c.jpg?v=1755863487,2,"",,,,,,,,,,,,
k9-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01377lDb20HRdfJXJDd__3923156824-0-cib.jpg?v=1755863487,3,"",,,,,,,,,,,,
k9-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01UocL8b20HRdmSEm5U__3923156824-0-cib.jpg?v=1755863487,4,"",,,,,,,,,,,,
k9-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01yWpcyV20HRdl0661k__3923156824-0-cib.jpg?v=1755863487,5,"",,,,,,,,,,,,
k9-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01ZxPIxX20HRdfJWyOy__3923156824-0-cib.jpg?v=1755863487,6,"",,,,,,,,,,,,
k9-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01uGpzMk20HRdhpYAfA__3923156824-0-cib.jpg?v=1755863487,7,"",,,,,,,,,,,,
k9-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/003b5f20005ec0d93122d4e9fd65242.jpg?v=1755863487,8,"",,,,,,,,,,,,
candlestick-kneeling-punishment-device,Candlestick Kneeling Punishment Device,"<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">烛台跪姿刑具，提升你的权力游戏体验。这款造型时尚的配件专为精准的控制和深度服从而设计，既能让你优雅地跪下，又能让你沉浸于感官的愉悦之中。其流线型轮廓兼具舒适与克制，让每一刻都充满期待与渴望。非常适合那些渴望在优雅中体验激情的人们。</span></span></p>
<p>产品编号：8904</p>",Knot Knot,Mature > Erotic > Sex Toys & Erotic Games,"","",true,Color,shopify--color-pattern-h9tm2ste,product.metafields.shopify.color-pattern,,,,,,,,7000.0,shopify,4,deny,manual,329.99,599.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/7_22588aff-6a21-4c5f-a471-5e47f26b3cbd.jpg?v=1755863361,1,"",false,,,,shopify--color-pattern-h9tm2ste,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/4a7a9004c068615d2de5c30d0da635b5_cc09aa23-2620-4ed6-b738-65b6dfbdc11a.jpg?v=1755863698,kg,,,active
candlestick-kneeling-punishment-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01ZDJgjz20HRfGAgShd__3923156824-0-cib.jpg?v=1755863698,2,"",,,,,,,,,,,,
